quasiris_id	topic	nr_in_context	name
desired10	Fussball	10	Mario Gomez
desired11	Fussball	11	Borussia
desired12	Fussball	12	Manuel Neuer
desired13	Fussball	13	Fortuna Düsseldorf
desired14	Fussball	14	FC Barcelona
desired15	Fussball	15	SC Freiburg
desired16	Fussball	16	Arjen Robben
desired17	Fussball	17	Xherdan Shaqiri
desired18	Fussball	18	Jupp Heynckes
desired19	Fussball	19	Uli Hoeneß
desired2	Fussball	2	FC Bayern München
desired20	Fussball	20	Real Madrid
desired21	Fussball	21	Jürgen Klopp
desired22	Fussball	22	UEFA
desired23	Fussball	23	Lionel Messi
desired24	Fussball	24	Schalke
desired25	Fussball	25	Neuer
desired26	Fussball	26	FSV Mainz
desired27	Fussball	27	Thomas Müller
desired28	Fussball	28	Gomez
desired29	Fussball	29	Werder Bremen
desired3	Fussball	3	Bayern München
desired30	Fussball	30	Boateng
desired31	Fussball	31	Fortuna
desired32	Fussball	32	FCB
desired33	Bundesland	33	Bayern
desired34	Sportler	34	Daniel Van Buyten
desired35	Sportler	35	Thomas Schaaf
desired36	Bundesland	36	Bremen
desired37	Stadt	37	München
desired38	Stadt	38	Dortmund
desired39	Stadt	39	Barcelona
desired4	Fussball	4	Mario Götze
desired40	Stadt	40	Madrid
desired41	Stadt	41	Struth
desired42	Stadt	42	Weste
desired43	Stadt	43	Mainz
desired44	Stadt	44	Düsseldorf
desired45	Stadt	45	Leverkusen
desired5	Fussball	5	Götze
desired6	Fussball	6	Borussia Dortmund
desired7	Fussball	7	Dortmunder Borussia
desired8	Fussball	8	Bundesliga
desired9	Fussball	9	Champions League
desiredBundesland0			Bundesland
desiredFussball0			Fussball
desiredSportler0			Sportler
desiredStadt0			Stadt
driver1	Fussball	1	FC Bayern
driver10	Fussball	10	Mario Gomez
driver11	Fussball	11	Borussia
driver12	Fussball	12	Manuel Neuer
driver13	Fussball	13	Fortuna Düsseldorf
driver14	Fussball	14	FC Barcelona
driver15	Fussball	15	SC Freiburg
driver16	Fussball	16	Arjen Robben
driver17	Fussball	17	Xherdan Shaqiri
driver18	Fussball	18	Jupp Heynckes
driver19	Fussball	19	Uli Hoeneß
driver2	Fussball	2	FC Bayern München
driver20	Fussball	20	Real Madrid
driver21	Fussball	21	Jürgen Klopp
driver22	Fussball	22	UEFA
driver23	Fussball	23	Lionel Messi
driver24	Fussball	24	Schalke
driver25	Fussball	25	Neuer
driver26	Fussball	26	FSV Mainz
driver27	Fussball	27	Thomas Müller
driver28	Fussball	28	Gomez
driver29	Fussball	29	Werder Bremen
driver3	Fussball	3	Bayern München
driver30	Fussball	30	Boateng
driver31	Fussball	31	Fortuna
driver32	Fussball	32	FCB
driver33	Bundesland	33	Bayern
driver34	Sportler	34	Daniel Van Buyten
driver35	Sportler	35	Thomas Schaaf
driver36	Bundesland	36	Bremen
driver37	Stadt	37	München
driver38	Stadt	38	Dortmund
driver39	Stadt	39	Barcelona
driver4	Fussball	4	Mario Götze
driver40	Stadt	40	Madrid
driver41	Stadt	41	Struth
driver42	Stadt	42	Weste
driver43	Stadt	43	Mainz
driver44	Stadt	44	Düsseldorf
driver45	Stadt	45	Leverkusen
driver5	Fussball	5	Götze
driver6	Fussball	6	Borussia Dortmund
driver7	Fussball	7	Dortmunder Borussia
driver8	Fussball	8	Bundesliga
driver9	Fussball	9	Champions League
driverBundesland0			Bundesland
driverFussball0			Fussball
driverSportler0			Sportler
driverStadt0			Stadt
feelgreen1	Fussball	1	FC Bayern
			
feelgreen10	Fussball	10	Mario Gomez
feelgreen101	Politik	101	Regierung
feelgreen103	Musiker	103	Texas
feelgreen105	Ort	105	Kansas
feelgreen107	Produkte	107	Öl
feelgreen109	Gegenstand	109	Methan
feelgreen11	Fussball	11	Borussia
feelgreen111	Land	111	Kongo
feelgreen113	Land	113	Republik Kongo
feelgreen115	Land	115	Demokratische Republik Kongo
feelgreen117	Land	117	Simbabwe
feelgreen119	Land	119	Äthiopien
feelgreen12	Fussball	12	Manuel Neuer
feelgreen121	Land	121	Südafrika
feelgreen123	Politik	123	Republik
feelgreen125	Region	125	Welt
feelgreen127	Gegenstand	127	Armut
feelgreen129	Gegenstand	129	Update
feelgreen13	Fussball	13	Fortuna Düsseldorf
feelgreen131	Gegenstand	131	Tiere
feelgreen133	Auto	133	Auto
feelgreen135	Auto	135	Autofahrer
feelgreen137	Bundesland	137	Berlin
feelgreen139	Gegenstand	139	Versicherung
feelgreen14	Fussball	14	FC Barcelona
feelgreen141	Stadt	141	Stuttgart
feelgreen143	Politik	143	Schmuckindustrie
feelgreen145	Gegenstand	145	Test
feelgreen147	Stadt	147	Schmuck
feelgreen149	Krankheit	149	Wunden
feelgreen15	Fussball	15	SC Freiburg
feelgreen151	Firma	151	Lindex
feelgreen153	Stadt	153	Fell
feelgreen155	Stadt	155	Stockholm
feelgreen157	Politik	157	Landesregierung
feelgreen159	Politiker	159	Stefan Rudolph
feelgreen16	Fussball	16	Arjen Robben
feelgreen161	Stadt	161	Neubrandenburg
feelgreen163	Stadt	163	Greifswald
feelgreen165	Gegenstand	165	Frauen
feelgreen167	Produkte	167	Erdöl
feelgreen169	Bundesland	169	Hamburg
feelgreen17	Fussball	17	Xherdan Shaqiri
feelgreen171	Gegenstand	171	Rohstoffe
feelgreen173	Gegenstand	173	Wohnungen
feelgreen175	Stadt	175	Essen
feelgreen177	Wirtschaft	177	Landwirtschaft
feelgreen179	Kontinent	179	Europa
feelgreen18	Fussball	18	Jupp Heynckes
feelgreen181	Stadt	181	Göttingen
feelgreen183	Wirtschaft	183	Konsum
feelgreen185	Organisation	185	Verbraucherzentrale
feelgreen187	Stadt	187	Germering
