id	ID
name	Name
typ	Typ
gnd	GND
symbol	Symbol
ordnungszahl	Ordnungszahl
massenzahl	Massenzahl
serie	Serie
gruppe	Gruppe
periode	Periode
block	Block
aussehen	Aussehen
cas	CAS
massenanteil	Massenanteil
atommasse	Atommasse
atomradius	Atomradius
kovalenterradius	Kovalenter Radius
elektronenkonfiguration	Elektronenkonfiguration
ionisierungsenergie	Ionisierungsenergie 
aggregatzustand	Aggregatzustand
kristallstruktur	Kristallstruktur
dichte	Dichte
schmelzpunktK	Schmelzpunkt K
schmelzpunktC	Schmelzpunkt C
siedepunktK	Siedepunkt K
siedepunktC	Siedepunkt C
molaresvolumen	Molares Volumen
verdampfungswärme	Verdampfungswärme
schmelzwärme	Schmelzwärme
reftempspezifischewärmekapazität	Spezifische Wärmekapazität
wärmeleitfähigkeit	Wärmeleitfähigkeit
oxidationszustände	Oxidationszustände
basizität	Basizität
normalpotential	Normalpotential
elektronegativität	Elektronegativität
quelleGhsKz	Quelle GHS-Kz
quelleGefstkz	Quelle Gef St Kz
radioaktiv	Radioaktiv
c	C
p	P
lccn	Lccn
viaf	Viaf
kurzbeschreibung	Kurzbeschreibung
geburtsdatum	Geburtsdatum
geburtsort	Geburtsort
titel	Titel
index	Index
selibr	Selibr
sterbedatum	Sterbedatum
sterbeort	Sterbeort
alternativnamen	Name
url	Url
zugriff	Zugriff
datum	Datum
werk	Werk
hrsg	Herausgeber
archivUrl	Archiv-Url
archivDatum	Archiv-Datum
autor	Autor
jahr	Jahr
isbn	Isbn
verlag	Verlag
ort	Ort
auflage	Auflage
atomradiusberechnet	Atomradius
vanderwaalsradius	Van Der Waals Radius
austrittsarbeit	Austrittsarbeit
magnetismus	Magnetismus
eModul	E-Modul
poissonzahl	Poissonzahl
mohshärte	Mohshärte
schallgeschwindigkeit	Schallgeschwindigkeit
reftempschallgeschwindigkeitK	Schallgeschwindigkeit
spezifischewärmekapazität	Spezifische Wärmekapazität
elektrischeleitfähigkeit	Elektrische Leitfähigkeit
oxide	Oxide
ghsSignalwort	GHS-Signalwort
gefahrensymbole	Gefahrensymbole
r	R
künstler	Künstler
genre	Genre
label	Label
formate	Formate
anzahltitel	Anzahl Titel
laufzeit	Laufzeit
besetzung	Besetzung
produzent	Produzent
studio	Studio
vorheriges	Vorheriges
nächstes	Nächstes
single	Single
reftempdichteK	Dichte
align	Align
fußzeile	Fußzeile
breite	Breite
bild	Bild
gruppev	Gruppe V
gruppea	Gruppe A
gruppen	Gruppe N
aggregat	Aggregat
protonen	Protonen
radio	Radio
modifikationen	Modifikationen
sublimationspunktK	Sublimationspunkt K
sublimationspunktC	Sublimationspunkt C
sammelwerk	Sammelwerk
band	Band
nummer	Nummer
seiten	Seiten
doi	DOI
issn	Issn
art	Art
reftempelektrischeleitfähigkeitK	Elektrische Leitfähigkeit K
reftempwärmeleitfähigkeitK	Wärmeleitfähigkeit K
originalsprache	Originalsprache
herausgeber	Herausgeber
online	Online
datei	Datei
länge	Länge
größe	Größe
version	Version
dimension	Dimension
namedafter	Named After
derivedfrom	Derived From
physicalsize	Physical Size
size	Size
pnd	PND
eigenname	Eigenname
eigennameErklärung	Eigenname-ErklÄrung
thronname	Thronname
thronnameErklärung	Thronname-ErklÄrung
horusname	Horusname
horusnameErklärung	Horusname-ErklÄrung
amt	AMT
zeit	Zeit
vorgänger	VorgÄnger
nachfolger	Nachfolger
ndl	NDL
norm	Norm
si	SI
ese	Es E
eme	Em E
exzellent	Exzellent
land	Land
vNr	V-Nr
kommentar	Kommentar
titelerg	Titel
title	Title
page	Seite
namekyrillisch	Name
wappen	Wappen
flagge	Flagge
gebiet	Gebiet
gegründet	Gegründet
latDeg	Lat deg
latMin	Lat min
latSec	Lat sec
lonDeg	Lon deg
lonMin	Lon min
lonSec	Lon sec
höhe	Höhe
einwohner	Einwohner
einwohnerstand	Einwohner Stand
einwohnerdatenref	Einwohnerdaten
fläche	Fläche
zeitzone	Zeitzone
telefonvorwahl	Telefonvorwahl
postleitzahl	Postleitzahl
kfzKennzeichen	Kfz-Kennzeichen
gemeindeart	Gemeindeart
akim	Akim
akimstand	Akim Stand
webpräsenz	Webpräsenz
quelle	Quelle
diagrammTemperatur	Diagramm temperatur
diagrammNiederschlag	Diagramm niederschlag
hmjan	Hmjan
hmfeb	Hmfeb
hmmär	Hmmär
hmapr	Hmapr
hmmai	Hmmai
hmjun	Hmjun
hmjul	Hmjul
hmaug	Hmaug
hmsep	Hmsep
hmokt	Hmokt
hmnov	Hmnov
hmdez	Hmdez
avjan	Avjan
avfeb	Avfeb
avmär	Avmär
avapr	Avapr
avmai	Avmai
avjun	Avjun
avjul	Avjul
avaug	Avaug
avsep	Avsep
avokt	Avokt
avnov	Avnov
