5-hydroxytryptamin	or_5-ht
aalmolch	genus_of_aquatic_salamander
aare	aar
aarmühle	switzerland
abänderung	change
abarbeiten	get_off_or_afloat
abarbeitet	use_in_side_clause_where_usually_separable_prefix_do_not_separate
abart	specie
abbau	analysis
abbiegen	turn_off
abbilden	picture
abbildung	map
abbildung	picture
abbinden	set
abblocken	block/v/to_prevent_an_action
abbrechen	discard
abdecken	untile
abdeckstift	concealer/n/cosmetic
abduktion	abductive_reason
abduktor	abductor
abe_lincoln	redirectabraham_lincoln
abendessen	supper/n/dinner_at_night
abendländisch	occidental
aber,_aber	there_there/i/used_to_calm_somebody
aberrant	aberrant
aberration	aberration/n/partial_alienation_of_reason
abfall	apostasy
abfliegen	fly_over
abgas	exhaust_gas
abgasturbine	exhaust_gas_turbine
abgeben	something
abgeschieden	seclude
abgesehen	other/r/apart_from
abgleich	reconciliation/n/process_of_matching_and_comparing_figures_from_accounting_records_against_those_presented_on_a_bank_statement
abhängigkeit	dependency
abhauen	cut_off
abkacken	pass_out
abkürzen	abbreviate
abluft	exhaust/n/the_foul_air_let_out_of_a_room_through_a_register_or_pipe_provided_for_the_purpose
abnutzung	wear
abreiben	rub_off
abschließen	finalize
abschluss	conclusion/n/outcome
abschluss	graduation/n/the_action_or_process_of_graduating
abschneiden	shear/v/to_cut
absichtlich	deliberate/a/intentional
abstieg	relegation
abtragen	carry_off
abtragen	clear_away
abträglich	prejudicial/a/causing_harm_or_injury
abwägen	criticise/v/to_evaluate
abwasser	sewage
abweichen	deviate
abweichen	deviation/n/act_of_deviating
acetylen	acetylene/n/acetylene
achte	eighth/n/person_or_thing_in_the_eighth_position
ächten	outlaw
achten	respect
achtsam	wary/a/cautious_of_danger
achtundvierzig	forty-eight
achtzig	eighty/n/80
achtzigste	eightieth
acker	field
actionfilm	action_movie/n/a_type_of_motion_picture
adam	adam
adapter	adapter
addieren	sum
adelger	elgar/n/male_given_name
ader	blood_vessel/n/any_vessel_in_which_blood_is_carried
adjektivisch	adjectival/a/of_or_relating_to_or_functioning_as_an_adjective
adresse	address/n/formal_communication
adriatisches_meer	adriatic_sea
adverb	adverb
affenbrot	monkey_bread
agent	agent
ägid	aegidius/n/male_given_name
ägyptisch	egyptian/n/language
